x	y	clickSelects	xmin	xmax	ymin	ymax
1.25	0	log2(tiles)=0.00 log10(pixels)=1.25	1.125	1.375	-0.25	0.25
0.25	0	log2(tiles)=0.00 log10(pixels)=0.25	0.125	0.375	-0.25	0.25
2.25	0	log2(tiles)=0.00 log10(pixels)=2.25	2.125	2.375	-0.25	0.25
1	0	log2(tiles)=0.00 log10(pixels)=1.00	0.875	1.125	-0.25	0.25
3	2	log2(tiles)=2.00 log10(pixels)=3.00	2.875	3.125	1.75	2.25
3.5	1.5	log2(tiles)=1.50 log10(pixels)=3.50	3.375	3.625	1.25	1.75
3.75	2	log2(tiles)=2.00 log10(pixels)=3.75	3.625	3.875	1.75	2.25
1.5	0	log2(tiles)=0.00 log10(pixels)=1.50	1.375	1.625	-0.25	0.25
0.75	0	log2(tiles)=0.00 log10(pixels)=0.75	0.625	0.875	-0.25	0.25
1.75	0	log2(tiles)=0.00 log10(pixels)=1.75	1.625	1.875	-0.25	0.25
2	1	log2(tiles)=1.00 log10(pixels)=2.00	1.875	2.125	0.75	1.25
1.5	1	log2(tiles)=1.00 log10(pixels)=1.50	1.375	1.625	0.75	1.25
0.5	0	log2(tiles)=0.00 log10(pixels)=0.50	0.375	0.625	-0.25	0.25
2	0	log2(tiles)=0.00 log10(pixels)=2.00	1.875	2.125	-0.25	0.25
2.25	1	log2(tiles)=1.00 log10(pixels)=2.25	2.125	2.375	0.75	1.25
0	0	log2(tiles)=0.00 log10(pixels)=0.00	-0.125	0.125	-0.25	0.25
